#serial_id|rm_id|revision|from_dt|thru_dt|distribute

# AU2 Research Models
137|28|2|1998-12-31|2999-12-31|1
138|29|2|1998-12-31|2999-12-31|1
# GB Production Models (short horizon)
74|53|1|1998-12-31|2999-12-31|1
75|54|1|1998-12-31|2999-12-31|1
# UK V4 production models
310|310|1|1996-12-31|2999-12-31|0
311|311|1|1996-12-31|2999-12-31|0
312|312|1|1996-12-31|2999-12-31|0
313|313|1|1996-12-31|2999-12-31|0
314|314|1|1996-12-31|2999-12-31|0

# TW Production Model
8|6|1|1998-01-01|2999-12-31|0
58|42|1|1999-01-01|2999-12-31|0

# APAC Production Models
59|38|1|1999-01-01|2012-02-02|0
60|39|1|1999-01-01|2012-02-02|0
# APAC-2.1 Production Models
119|82|1|1996-12-31|2009-01-01|1
120|82|2|2009-01-01|2999-12-31|1
121|83|1|1996-12-31|2999-12-31|1
# APAC-2.1 Production Models (Short Horizon)
95|68|1|1996-12-31|2009-01-01|1
96|68|2|2009-01-01|2999-12-31|1
97|69|1|1996-12-31|2999-12-31|1

# CN Production Models (medium horizon)
61|40|1|1998-12-31|1999-01-01|0
62|41|1|1998-12-31|1999-01-01|0
143|40|2|1998-12-31|2999-12-31|1
144|41|2|1998-12-31|2999-12-31|1
# CN Production Models (short horizon)
78|57|1|1998-12-31|2999-12-31|1
79|58|1|1998-12-31|2999-12-31|1

# APAC-ex-Japan Production Models
63|43|1|1999-01-01|2012-02-02|0
64|44|1|1999-01-01|2012-02-02|0
# APACxJP-2.1 Production Models
122|84|1|1996-12-31|2009-01-01|1
123|84|2|2009-01-01|2999-12-31|1
124|85|1|1996-12-31|2999-12-31|1
# APACxJP-2.1 Production Models (Short Horizon)
98|70|1|1996-12-31|2009-01-01|1
99|70|2|2009-01-01|2999-12-31|1
100|71|1|1996-12-31|2999-12-31|1

# North America Production Models
65|45|1|1999-01-01|1999-01-02|0
66|46|1|1999-01-01|1999-01-02|0
# North America V2.1 Production Models
125|86|1|1996-12-31|2999-12-31|1
126|87|1|1996-12-31|2999-12-31|1
# North America V2.1 Production Models (Short Horizon)
101|72|1|1996-12-31|2999-12-31|1
102|73|1|1996-12-31|2999-12-31|1
# North America V4 Production Models
330|330|1|1996-12-31|2999-12-31|0
331|331|1|1996-12-31|2999-12-31|0
332|332|1|1996-12-31|2999-12-31|0
333|333|1|1996-12-31|2999-12-31|0
334|334|1|1996-12-31|2999-12-31|0

# Developed ex US V4 production models
335|335|1|1996-12-31|2999-12-31|0
336|336|1|1996-12-31|2999-12-31|0
337|337|1|1996-12-31|2999-12-31|0
338|338|1|1996-12-31|2999-12-31|0
339|339|1|1996-12-31|2999-12-31|0

# WWxUS Production Models
69|47|1|1999-01-01|2003-01-01|0
67|47|2|2003-01-01|2003-01-02|0
68|48|1|1999-01-01|1999-01-02|0
# WWxUS V2.1 Production Models
127|88|1|1999-01-01|2003-01-01|0
128|88|2|2003-01-01|2009-01-01|1
129|88|3|2009-01-01|2999-12-31|1
130|89|1|1996-12-31|2999-12-31|1
# WWxUS History Extension
151|88|4|1996-12-31|2003-01-01|1
# WWxUS V2.1 Production Models (Short Horizon)
103|74|1|1999-01-01|2003-01-01|0
104|74|2|2003-01-01|2009-01-01|1
105|74|3|2009-01-01|2999-12-31|1
106|75|1|1996-12-31|2999-12-31|1
# WWxUS History Extension
152|74|4|1996-12-31|2003-01-01|1

# US Production models - revision 2011
131|20|2|1982-01-01|2999-12-31|1
133|21|2|1982-01-01|2999-12-31|1

# US (Short-Horizon) Production Models - revision 2011
132|22|2|1982-01-01|2999-12-31|1
134|23|2|1982-01-01|2999-12-31|1

# TW Production models - revision 2012
153|90|1|1998-12-31|2999-12-31|1
154|91|1|1998-12-31|2999-12-31|1
155|42|2|1998-12-31|2999-12-31|1
156|92|1|1998-12-31|2999-12-31|1

#APxJP V2.2 Production Models
157|93|1|2012-12-31|2999-12-31|1
158|94|1|2012-12-31|2999-12-31|1
159|95|1|2012-12-31|2999-12-31|1
160|96|1|2012-12-31|2999-12-31|1
 
#AP V2.2 Production Models
161|97|1|2012-12-31|2999-12-31|1
162|98|1|2012-12-31|2999-12-31|1
163|99|1|2012-12-31|2999-12-31|1
164|100|1|2012-12-31|2999-12-31|1

#WW V2.2 Production Models
165|101|1|2012-12-31|2999-12-31|1
166|102|1|2012-12-31|2999-12-31|1
167|103|1|2012-12-31|2999-12-31|1
168|104|1|2012-12-31|2999-12-31|1

# US V3 Production models
170|105|1|1982-01-01|2999-12-31|1
171|106|1|1982-01-01|2999-12-31|1
172|107|1|1982-01-01|2999-12-31|1
173|108|1|1982-01-01|2999-12-31|1
174|109|1|1982-01-01|2999-12-31|1

# US V3 Macro model
2001|201|1|1982-01-01|2999-12-31|1

# US V4 Production models
180|202|1|1982-01-01|2999-12-31|0
181|203|1|1982-01-01|2999-12-31|0
182|204|1|1982-01-01|2999-12-31|0
183|205|1|1982-01-01|2999-12-31|0
185|202|2|1982-01-01|2999-12-31|1
186|203|2|1982-01-01|2999-12-31|1
187|204|2|1982-01-01|2999-12-31|1
188|205|2|1982-01-01|2999-12-31|1
189|214|1|1982-01-01|2999-12-31|0
190|215|1|1982-01-01|2999-12-31|1
191|216|1|1982-01-01|2999-12-31|1
192|217|1|1981-12-31|2999-12-31|1
193|218|1|1981-12-31|2999-12-31|1

# Regional Linked Models
400|400|1|1996-12-31|2999-12-31|0
401|401|1|1996-12-31|2999-12-31|0
410|410|1|1996-12-31|2999-12-31|0
411|411|1|1996-12-31|2999-12-31|0

# Regional Macro Projection Models
501|501|1|2004-01-02|2999-12-31|0

# US4.1 production models
402|402|1|1982-01-01|2999-12-31|1
403|403|1|1982-01-01|2999-12-31|1

# Commodity Models
10001|1000|2|2009-01-02|2999-12-31|1

# Universal Models
20000|2000|1|2001-01-01|2999-12-31|0
25000|2500|1|2001-01-01|2999-12-31|0
30000|3000|1|2009-01-01|2999-12-31|0
30001|3000|2|2001-01-01|2009-01-01|0
