axid,name,shortname,active,use_level,use_shock,source,type,freq,has_trend,needs_sa,deflator,notes,min_dt,is_tr,is_yield,is_spread,is_price,is_ex_ret
M000010105,RUSSELL 2000 VALUE INCL DIVIDENDS,RUSSELL 2000 VALUE INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010108,RUSSELL 2500 INDEX,RUSSELL 2500 INDEX,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,0,0,0,1,0
M000010109,RUSSELL 2500 INDEX INCL DIVIDENDS,RUSSELL 2500 INDEX INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010115,RUSSELL 3000 GROWTH INCL DIVIDENDS,RUSSELL 3000 GROWTH INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010125,RUSSELL MID CAP INDEX INCL DIVIDENDS,RUSSELL MID CAP INDEX INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M000010124,RUSSELL MIDCAP INDEX ,RUSSELL MIDCAP INDEX ,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,0,0,0,1,0
M000010137,RUSSELL TOP 200 INDEX - INCL DIVIDENDS,RUSSELL TOP 200 INDEX - INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,1/31/1985,1,0,0,0,0
M001000059,EXPORT PRICE INDEX - ALL COMMODITIES (END USE),exp_price_idx_com,0,0,1,macroecon,geom,M,0,0,,,3/1/1985,0,0,0,0,0
M001000070,IMPORT PRICE INDEX - ALL COMMODITIES (END USE),imp_price_idx_com,0,0,1,macroecon,geom,M,0,0,,,3/1/1985,0,0,0,0,0
M000010107,RUSSELL 2500 GROWTH - INCL DIVIDENDS,RUSSELL 2500 GROWTH - INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,12/31/1985,1,0,0,0,0
M000010111,RUSSELL 2500 VALUE - INCL DIVIDENDS,RUSSELL 2500 VALUE - INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,12/31/1985,1,0,0,0,0
M000010123,RUSSELL MID CAP GROWTH  INCL DIVIDENDS,RUSSELL MID CAP GROWTH  INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,12/31/1985,1,0,0,0,0
M000010127,RUSSELL MID CAP VALUE INCL DIVIDENDS,RUSSELL MID CAP VALUE INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,12/31/1985,1,0,0,0,0
M000010135,RUSSELL TOP 200 GROWTH - INCL DIVIDENDS,RUSSELL TOP 200 GROWTH - INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,12/31/1985,1,0,0,0,0
M000010136,RUSSELL TOP 200 INDEX,RUSSELL TOP 200 INDEX,0,0,1,macroidx,geom,D,0,0,,,12/31/1985,0,0,0,1,0
M000010139,RUSSELL TOP 200 VALUE - INCL DIVIDENDS,RUSSELL TOP 200 VALUE - INCL DIVIDENDS,0,0,1,macroidx,geom,D,0,0,,,12/31/1985,1,0,0,0,0
M000010080,NASDAQ 100 INDEX,nas_100,0,0,1,macroidx,geom,D,0,0,,,6/19/1986,0,0,0,0,0
M000100197,SandP GSCI Crude Oil Excess Return,SandP GSCI Crude Oil Excess Return,0,0,1,macrods,geom,D,0,0,,,12/31/1986,0,0,0,0,1
M000100231,SandP GSCI All Crude Excess Return,gsci_all_crude_er,0,0,1,macrods,geom,D,0,0,,,1/7/1987,0,0,0,0,1
M000100232,SandP GSCI All Crude Spot,gsci_all_crude_spot,0,0,1,macrods,geom,D,0,0,,,1/7/1987,0,0,0,1,0
M000100233,SandP GSCI All Crude Total Return,gsci_all_crude_tr,0,0,1,macrods,geom,D,0,0,,,1/7/1987,1,0,0,0,0
M000100198,SandP GSCI Crude Oil Total Return,SandP GSCI Crude Oil Total Return,0,0,1,macrods,geom,D,0,0,,,1/7/1987,1,0,0,0,0
M000100205,SandP GSCI Unleaded Gaso. Exc. Ret.,SandP GSCI Unleaded Gaso. Exc. Ret.,0,0,1,macrods,geom,D,0,0,,,12/31/1987,0,0,0,0,0
M000100206,SandP GSCI Unleaded Gasoline Spot,SandP GSCI Unleaded Gasoline Spot,0,0,1,macrods,geom,D,0,0,,,12/31/1987,0,0,0,1,0
M000100207,SandP GSCI Unleaded Gaso. Tot. Ret.,SandP GSCI Unleaded Gaso. Tot. Ret.,0,0,1,macrods,geom,D,0,0,,,1/7/1988,1,0,0,0,0
